id,origen,destino,razon_viaje,transporte_utilizado,num_transbordos,tiempo_llegada,hora_inicio,hora_llegada,frecuencia_viaje,razon_transporte,costo_viaje,nivel_confort,satisfaccion_transporte,considera_otro_transporte,edad,genero,ocupacion,ingreso_mensual,vehiculos_hogar,factores_importantes,cambios_viaje,mejoras_transporte,acompanamiento,gasto_mensual_transporte,seguridad_trayecto
2024-09-23 18:47:08.977,obrera,uabc_sauzal,Estudio,Autobús,2,50 min,09:00:00,09:50:00,Diario,Es la única opción,6 pesos por micro,1,1,Si la bicicleta ,28,Femenino,Estudiante,10 mil,0,Seguridad,Muchas veces pido didi pero ya han subido tarifas ,Cambio de unidades y mejores rutas ,Sola,120,2
2024-09-23 19:25:28.349,valle_dorado,"carr. tijuana-ensenada km. 107, ensenada, b.c.",Estudio,Autobús,2,65 minutos,06:45:00,07:50:00,Diariamenre ,Costo,12 pesos por descuento de estudiante,2,3,Auto ,17,Masculino,Estudiante,7000 (deposito de parte de mis padres),0,"Tiempo, Costo","Conseguir un carro, porque por mis horarios de estudio, el transporte publico no opera a esas horas","Amplitud de horarios, disponibilidad, ",Solo ,"Antes gastaba 1800 incluyendo taxis y didis, con mi descuento 1000",3
2024-09-24 09:32:47.103,parada del walmart de la once,cicese,Estudio,Autobús,0,45 minutos,08:00:00,09:00:00,5 días a la semana,Costo,7 pesos,1,1,"Sí, Uber o Didi",30 años,Masculino,Estudiante,19 mil pesos,0,"Tiempo, Costo, Seguridad, Comodidad","Pedir ""ride"", porque el transporte público tarda mucho, está muy lleno, las unidades son pequeñas y es muy inseguro.",Unidades más grandes.,Solo,250 a 400 pesos,2
2024-09-24 13:49:27.624,moderna,universidad nacional autonoma de mexico ,Estudio,Autobús,0,10 minutos ,07:30:00,08:30:00,Diariamente,Es la única opción,6,1,1,Caminar,22,Masculino,Estudiante,menos de 8 mil,0,"Tiempo, Costo, Seguridad, Comodidad","Si, a horas pico es imposible tomar un camión de Vigía. Hay que salir con más de una hora de anticipación para poder tomar un lugar.","Las condiciones de las unidades son deplorables, los transportes Vigía están en condiciones inhumanas, los chóferes son groseros y no les importa la calidad del servicio. 

1. Unidades más limpias, sin aromas extraños o al menos en condiciones operables. Hay una cantidad preocupante de unidades de transporte en terrible estado, con asientos rotos, sin asientos, con agujeros y animales. 
2. Más unidades, no es posible tener que esperar más de una hora para un trayecto de 5 minutos. 
3. Regulación a las unidades. Son unidades viejas que contaminan y provocan un impacto ambiental terrible.
4. Regulación de operadores. Los chóferes van comiendo, hablando por teléfono, viendo su celular. 
5. Respetar las tarifas de discapacidad y estudiantes. Los chóferes cobran lo que les da su gana y no respetan el precio presencial a estudiantes. 
6. Seguridad, no hay ningún tipo de operación en pro de la seguridad de los usuarios. Utilizar el transporte de noche es peligroso.",Solo,100,1
2024-09-24 13:49:38.845,playitas,centro,Compras,Autobús,0,De 30 minutos a 1 hora,03:00:00,04:00:00,1 vez por semana,Es la única opción,6,2,2,"Transporte privado (Didi, Uber, Indriver etc. )",21,Masculino,Estudiante,menos de 8 mil,0,Costo,Vigía para ir al súper ,Mayor frecuencia ,Solo,50,4
2024-09-24 13:50:12.040,"(31.8665547, -116.6674900) coordenadas ",centro,Estudio,Autobús,0,30 min,13:30:00,14:10:00,3 veces por semana,Costo,6,1,1,"Transporte particular (Automóvil, Motocicleta, Bicicleta etc.)",25,Masculino,Estudiante,8 mil - 10 mil,0,"Tiempo, Costo, Seguridad, Comodidad",Ninguno,"Camiones en mejor estado, así como un mejor manejo por parte de los conductores. También estaría bien que hubiera más unidades ya que se saturan ",Compañeros ,250,2
2024-09-24 13:51:21.990,sexto ayuntamiento,"km. 107 carretera tijuana-ensenada,  apdo. postal, 356, cp. 22800,  ensenada, b.c. mexico.",Estudio,Autobús,2,25-40minutos,07:00:00,08:40:00,Diariamente,Es la única opción,12,3,2,"Transporte privado (Didi, Uber, Indriver etc. )",20,Masculino,Estudiante,menos de 8 mil,0,"Tiempo, Costo",En ocasiones se me hace tarde y tengo que usar Uber ya que tarda mucho en pasar el camión,"Que pase más rápido, ya que tardan mucho en pasar hacia Sexto Ayuntamiento ",Solo,700,3
2024-09-24 13:52:53.919,moderna,uabc_sauzal,Estudio,Autobús,1,20 min,07:30:00,07:50:00,Diariamente,Es la única opción,13,1,1,"Transporte particular (Automóvil, Motocicleta, Bicicleta etc.)",20,Masculino,Estudiante,8 mil - 10 mil,0,Tiempo,No,Más camiones,Solo,400,1
2024-09-24 13:56:11.274,playitas,unam,Estudio,A pie,0,20 minutos,07:40:00,08:00:00,Diariamente,Costo,0,1,1,"Transporte particular (Automóvil, Motocicleta, Bicicleta etc.)",21,Masculino,Estudiante,menos de 8 mil,0,"Tiempo, Costo, Seguridad, Comodidad",No,Que haya transporte para alumnos ,Solo,0,1
2024-09-24 13:57:52.801,moderna,unam,Estudio,Autobús,1,10-20min,07:00:00,07:20:00,Diariamente,Es la única opción,6 pesos con descuento de estudiante ,1,2,"Transporte particular (Automóvil, Motocicleta, Bicicleta etc.)",18 años,Femenino,Estudiante,menos de 8 mil,0,"Tiempo, Costo, Seguridad",Algunas veces he caminando ,Más unidades para satisfacer la demanda ,Sola,De 300-600 pesos,2
